designation,BLS_period,BLS_period_SNR,BLS_duration,BLS_depth,BLS_transit_time,channel,quarter,ra,dec,main_id,main_type,other_types,angDist
Gaia EDR3 2073685565715223808,0.52396048942804,114.5898110656139,0.45,0.0079904119038117,2455276.714681343,72,5,297.6016113714609,40.25557706179547,,,,
Gaia EDR3 2073685668794567808,0.5606496710526316,75.6400915618617,0.45,1.849386527029E-4,2455276.846681343,72,5,297.62893188114526,40.26438027699388,2MASS J19503163+4015476,RGB*,IR |RG*|Er*|*,8.793267
Gaia EDR3 2073685668804904064,0.5606496710526316,142.86552875625745,0.45,1.896742524291E-4,2455276.846681343,72,5,297.62835201055714,40.26315633703906,2MASS J19503163+4015476,RGB*,IR |RG*|Er*|*,9.305886
Gaia EDR3 2134814804448660608,0.7071778659481021,14641.59066334934,0.15,0.1089876905767995,2455277.006163021,73,5,295.4191083701317,49.106278859482885,,,,
Gaia EDR3 2080297543308948480,0.5740701047974095,166.16912676963116,0.051,0.0245887618141916,2455276.7644544826,77,5,297.4298669472544,46.60290858617565,,,,
Gaia EDR3 2080297753765423744,2.17045569656889,290.07009978426,0.126,0.0149450940947896,2455276.921954483,77,5,297.41606858317334,46.62228698545358,,,,
Gaia EDR3 2080297753765434496,0.8278528592757771,543.6183690321225,0.051,0.0226539147247755,2455276.806454483,77,5,297.41655809117253,46.626683279863606,,,,
Gaia EDR3 2080297753770786944,2.17045569656889,265.3746643790633,0.126,0.0108928470869431,2455276.921954483,77,5,297.4161781237288,46.62285325027083,,,,
Gaia EDR3 2080297753770788864,0.8278528592757771,1825.63179280525,0.051,0.0486213499954068,2455277.160454483,77,5,297.41618103502447,46.625379519160575,,,,
Gaia EDR3 2086592350456692864,6.359473382942188,271.6888174296841,0.399,0.0145355666834713,2455277.435983447,78,5,296.5913585282534,47.64807931794677,,,,
Gaia EDR3 2086592354751514624,6.359473382942188,184.21334169322805,0.399,0.0140754712409192,2455277.4455492864,78,5,296.5911723172844,47.64877407573865,,,,
Gaia EDR3 2086592354758573568,6.359473382942188,239.53013533382068,0.399,0.0127696394883304,2455277.454549286,78,5,296.590021132213,47.64813268285364,,,,
Gaia EDR3 2086516449796423936,2.6323086778346223,2526.145059870724,0.174,0.181551532327163,2455276.7779878853,79,5,298.0445525550784,48.18158196654276,,,,
Gaia EDR3 2086516454099067776,2.6323086778346223,52.17249385190794,0.126,0.0019174524792975,2455276.7809878853,79,5,298.04766416687,48.17961585198537,,,,
Gaia EDR3 2079019292324040704,0.6285003111387678,84.82353068979023,0.051,0.0184936491675348,2455276.7432139907,81,5,299.3351017429081,44.07973281399297,,,,
Gaia EDR3 2079399006085883008,11.236514833682936,84.19599051384839,0.099,0.0131952219702828,2455279.1553072,82,5,298.53376279602554,45.14958533091036,,,,
Gaia EDR3 2079399006094147840,11.236514833682936,77.37726798554415,0.099,0.0104248663795848,2455279.1553072,82,5,298.5337383873655,45.14995781581405,,,,
Gaia EDR3 2082091568328182528,0.7019058650100032,201.14987030869915,0.051,0.024864570129295,2455276.7401524624,84,5,300.70633720730564,44.58817515389869,,,,
Gaia EDR3 2082093084451831296,0.5000983625142126,152.79860223749807,0.45,5.715974148873E-4,2455276.7296524625,84,5,300.6522119821675,44.58709362413656,KIC 8524481,Star,*  |IR,6.583768
Gaia EDR3 2082093084451836672,0.5000983625142126,182.1108160094104,0.45,3.411976774579E-4,2455276.7536524623,84,5,300.65300427759354,44.58811881660841,KIC 8524481,Star,*  |IR,2.530952
Gaia EDR3 2082093084461923328,0.5000983625142126,180.2920051785665,0.45,3.360510531135E-4,2455276.7536524623,84,5,300.6530541600496,44.58881089997179,KIC 8524481,Star,*  |IR,0.036243
Gaia EDR3 2082093153171303040,0.5001967637367768,52.78669263152148,0.45,6.139944720393E-4,2455276.732652462,84,5,300.65018245829606,44.58718236581214,KIC 8524481,Star,*  |IR,9.437308
Gaia EDR3 2052524429346526464,0.9696313416191228,149.26385749424483,0.099,0.0944861869959339,2455373.414512568,4,6,291.273429103461,37.38868278025205,,,,
Gaia EDR3 2076836727386435072,3.554231142918077,571.1120824039987,0.201,0.0349001948313272,2455375.876965979,9,6,296.88894160279983,41.223229435987086,,,,
Gaia EDR3 2076836727386435200,3.554231142918077,138.88110612042823,0.201,0.0165004448440114,2455375.873965979,9,6,296.88908181958504,41.22472632633157,,,,
Gaia EDR3 2076836727387736576,3.554231142918077,414.5322661941705,0.201,0.0281385076461158,2455375.873965979,9,6,296.89001334433044,41.22338405028128,,,,
Gaia EDR3 2073608393758502016,0.5198354382997602,426.7372006542236,0.45,0.002303703065498,2455372.776413212,11,6,298.9818151798242,40.790049694509456,,,,
Gaia EDR3 2077810555389602176,0.6048001741998702,219.36654048346423,0.399,0.0275403135363007,2455372.7539602555,22,6,293.0243839710716,42.8632034665161,,,,
Gaia EDR3 2103827298302304128,0.5337515991907517,105.6242807703253,0.45,0.01101424842638,2455372.7468768386,34,6,285.3719712339122,41.07107519786095,KIC 5773205,EB*,EB*|*  |IR |EB*|*,0.026159
Gaia EDR3 2126083788772171648,0.6083461267798439,48.484699598933695,0.45,2.11251683987E-4,2455372.695481472,43,6,290.4549763365488,43.68058185439253,,,,
Gaia EDR3 2126085365021210240,0.6013664411985229,116.84432196169917,0.399,0.0159614440370974,2455372.876981472,43,6,290.47516868282725,43.71647834023331,,,,
Gaia EDR3 2126085369316699648,0.6013664411985229,189.30110945295525,0.399,0.022338586053927,2455372.876981472,43,6,290.4761599534138,43.7165869397855,,,,
Gaia EDR3 2126085369320144640,0.8419737839279199,762.0876882375653,0.051,0.0365502925109282,2455372.6999814715,43,6,290.4955100101696,43.71834033295407,,,,
Gaia EDR3 2126955319233534592,0.6083461267798439,99.4268954619972,0.45,0.0211575958431005,2455372.698418828,44,6,289.5245199161709,44.6828357822361,,,,
Gaia EDR3 2126955323535081728,0.6083461267798439,104461.91474035592,0.45,0.1631234297103829,2455372.6954188272,44,6,289.5226414836239,44.6875476878959,ROTSE1 J191805.52+444116.3,EB*,WU*|EB*|*  |Er*|EB*|V* |EB*|IR,0.088326
Gaia EDR3 2126955323535082368,0.6083461267798439,104987.79795710497,0.45,0.1630849347210659,2455372.6954188272,44,6,289.5234714169998,44.68757945887702,ROTSE1 J191805.52+444116.3,EB*,WU*|EB*|*  |Er*|EB*|V* |EB*|IR,2.158776
Gaia EDR3 2127956149696086272,0.6019360198417953,193.2575464243697,0.399,0.0193492224916854,2455372.75974944,45,6,293.8287659424461,45.208002180822064,,,,
Gaia EDR3 2085663748472150656,0.541194427304907,589.8067374048588,0.45,0.0070329502341054,2455372.6948794406,52,6,298.8391179048781,47.09996491895609,KIC 10162869,Star,IR |*  |*  |*,9.385173
Gaia EDR3 2073682434684134144,0.7078670775852711,95.94668022252569,0.126,0.0034130391043921,2455463.5357082724,16,7,297.64789849293425,40.23309944744705,,,,
